type,term,level,pos,definition_url,voice_url
word,address,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/address_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
word,address,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
word,adequate,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adequate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequate__us_1.ogg
word,adequately,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequately__us_1.ogg
word,adhere,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adhere,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adh/adher/adhere__us_1.ogg
word,adjacent,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adjacent,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjac/adjacent__us_1.ogg
word,adjust,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adjust,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjust__us_1.ogg
word,adjustment,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adjustment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjustment__us_1.ogg
word,administer,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/administer,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administer__us_1.ogg
word,administration,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administration,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administration__us_1.ogg
word,administrative,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/administrative,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrative__us_1_rr.ogg
word,administrator,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administrator,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrator__us_1.ogg
word,admire,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admir/admire__us_1.ogg
word,admission,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/admission,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admis/admission__us_1.ogg
word,admit,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admit,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admit/admit__us_2.ogg
word,adolescent,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adolescent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adole/adolescent__us_1.ogg
word,adopt,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adopt__us_1.ogg
word,adoption,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adoption,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adoption__us_1.ogg
word,adult,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adult_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
word,adult,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adult_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
word,advance,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
word,advance,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
word,advance,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
word,advanced,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advanced,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advanced__us_1.ogg
word,advantage,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advantage__us_1.ogg
word,adventure,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adventure,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adven/adventure__us_3.ogg
word,adverse,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adverse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/adverse__us_2_rr.ogg
word,advertise,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertise__us_1.ogg
word,advertisement,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertisement__us_2_rr.ogg
word,advertising,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertising,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertising__us_1.ogg
word,advice,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advice,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advic/advice__us_1.ogg
word,advise,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advis/advise__us_1.ogg
word,advocate,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_2.ogg
word,advocate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_1.ogg
word,aesthetic,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aesthetic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aes/aesth/aesthetic__us_1_rr.ogg
